Date,open,high,low,close
2023-01-03 00:00:00+00:00,215.28353531535186,220.6271400509328,215.10239921681318,216.91378784179688
2023-01-04 00:00:00+00:00,218.09118244974204,224.15933128002976,217.366624271544,223.9781951904297
2023-01-05 00:00:00+00:00,223.07249675569847,231.85772822527477,222.6196496302585,229.9557647705078
2023-01-06 00:00:00+00:00,230.68033625924667,230.68033625924667,227.7821172529894,229.593505859375
2023-01-09 00:00:00+00:00,229.95576798054324,231.40488433009895,227.87268223027877,230.4086151123047
2023-01-10 00:00:00+00:00,229.2312451604709,229.77465347775598,225.7896038718027,226.87643432617188
2023-01-11 00:00:00+00:00,227.51041738939338,234.21256385458017,227.1481451782153,233.30686950683594
2023-01-12 00:00:00+00:00,234.2125574292096,240.82411493052237,233.39743806652132,238.83160400390625
2023-01-13 00:00:00+00:00,240.1901417448362,242.2732275991962,238.83160028166316,240.5524139404297
2023-01-16 00:00:00+00:00,241.09583500055854,246.71112310672262,240.0452262902086,244.8997344970703
2023-01-17 00:00:00+00:00,246.43943040324353,246.43943040324353,242.5449282371115,243.45062255859375
2023-01-18 00:00:00+00:00,243.63176332527567,244.22590408464833,237.83532541348575,241.91094970703125
2023-01-19 00:00:00+00:00,240.64299086343308,242.72607673479587,234.4842529296875,234.4842529296875
2023-01-20 00:00:00+00:00,235.38994835338588,237.2013369942578,234.84652623320486,236.56736755371094
2023-01-23 00:00:00+00:00,235.11825889582715,239.55615568494431,235.11825889582715,238.01646423339844
2023-01-24 00:00:00+00:00,238.55985945006972,239.55612865101753,236.47677373502933,238.2881622314453
2023-01-25 00:00:00+00:00,238.83159838531154,241.1863814577701,237.20133205869027,238.19760131835938
2023-01-26 00:00:00+00:00,239.10329765841612,244.9903106689453,239.10329765841612,244.9903106689453
2023-01-27 00:00:00+00:00,244.8091702529072,246.439436656702,243.63177866094253,246.34886169433594
2023-01-30 00:00:00+00:00,245.44312271466697,253.14152324261778,244.53742853490806,252.7792510986328
2023-01-31 00:00:00+00:00,253.0509776303154,255.67748552816167,250.15277250288355,252.68870544433594
2023-02-01 00:00:00+00:00,251.33017407090108,254.31895427428375,250.15278250947088,251.87359619140625
2023-02-02 00:00:00+00:00,253.68500755684158,265.6401570808353,253.68500755684158,264.0099182128906
2023-02-03 00:00:00+00:00,257.21717982238937,261.92680121300407,256.1303356123717,259.75311279296875
2023-02-06 00:00:00+00:00,257.67004677257273,257.67004677257273,252.14530561965233,253.86611938476562
2023-02-07 00:00:00+00:00,254.31895446777344,255.58694862978263,251.60187150277758,254.31895446777344
2023-02-08 00:00:00+00:00,255.1340821152199,257.5794400144601,251.33015519694166,251.6018524169922
2023-02-09 00:00:00+00:00,252.41701019372238,254.8623681979527,249.79047463568773,253.0509796142578
2023-02-10 00:00:00+00:00,251.0584555815046,251.87357487347415,246.16768455049754,248.79421997070312
2023-02-13 00:00:00+00:00,249.24710016155896,251.42076110839844,247.97910593960395,251.42076110839844
2023-02-14 00:00:00+00:00,252.5075592306797,253.86610067770187,250.0622012097977,250.9678955078125
2023-02-15 00:00:00+00:00,252.05473111530154,254.3189670313197,251.05848942393243,253.68499755859375
